token_id	lexeme	count
256	,	10295
257	the	7189
258	.	5613
259	and	4290
260	of	3468
261	in	2528
262	to	2369
263	!	2345
264	a	2116
265	i	2059
266	is	1602
267	that	1375
268	;	1327
269	my	1322
270	his	1062
271	?	962
272	with	947
273	:	920
274	not	898
275	for	849
276	was	819
277	as	818
278	he	789
279	this	768
280	me	763
281	you	751
282	it	716
283	but	700
284	by	695
285	be	694
286	thy	644
287	from	641
288	love	640
289	all	590
290	are	585
291	-	579
292	on	558
293	so	546
294	have	514
295	thee	513
296	thou	496
297	one	489
298	made	486
299	or	462
300	their	458
301	her	449
302	your	433
303	an	426
304	no	396
305	they	392
306	what	360
307	then	359
308	when	359
309	at	357
310	february	334
311	tannhauser	330
312	prime	321
313	time	311
314	who	309
315	life	298
316	can	294
317	'	292
318	will	286
319	has	283
320	which	278
321	like	273
322	am	267
323	also	266
324	we	263
325	o	262
326	shall	257
327	if	255
328	now	248
329	our	246
330	were	246
331	death	244
332	more	243
333	god	242
334	th	233
335	see	226
336	new	225
337	little	223
338	she	223
339	do	221
340	where	219
341	may	216
342	first	208
343	him	207
344	ndash	205
345	upon	205
346	sweet	203
347	there	203
348	night	199
349	its	198
350	how	193
351	light	193
352	crassus	191
353	had	191
354	man	191
355	alicia	190
356	up	189
357	many	178
358	heart	176
359	american	174
360	been	174
361	into	174
362	yet	169
363	these	167
364	away	166
365	eyes	165
366	most	163
367	them	163
368	know	162
369	used	161
370	let	159
371	soul	156
372	nor	153
373	mine	152
374	make	151
375	day	150
376	come	149
377	than	145
378	born	144
379	out	144
380	never	142
381	called	140
382	other	139
383	sleep	138
384	some	135
385	through	135
386	why	133
387	joy	131
388	part	131
389	would	131
390	fire	130
391	beauty	129
392	still	129
393	face	128
394	till	128
395	only	125
396	doth	124
397	known	124
398	such	124
399	venus	124
400	earth	123
401	d	122
402	old	122
403	city	120
404	did	120
405	father	120
406	down	119
407	weep	117
408	own	114
409	say	114
410	every	112
411	name	112
412	should	112
413	world	112
414	child	111
415	deep	111
416	thine	109
417	before	108
418	sun	106
419	us	106
420	must	105
421	voice	103
422	art	101
423	years	101
424	saw	100
425	about	99
426	hear	98
427	e	97
428	well	97
429	does	96
430	too	96
431	truth	96
432	delight	95
433	great	95
434	mother	94
435	people	94
436	sing	94
437	happy	93
438	found	92
439	men	92
440	thought	92
441	ah	91
442	fear	91
443	head	91
444	holy	91
445	dead	90
446	member	90
447	even	89
448	heaven	89
449	look	89
450	mind	89
451	true	89
452	over	88
453	bright	87
454	song	87
455	whose	87
456	kiss	86
457	two	86
458	black	85
459	came	85
460	oh	84
461	played	84
462	while	84
463	hath	83
464	human	83
465	those	83
466	heard	82
467	body	81
468	eternal	81
469	hell	81
470	tears	80
471	thus	80
472	white	80
473	very	79
474	said	78
475	hand	77
476	here	77
477	good	76
478	lost	76
479	state	76
480	again	75
481	football	75
482	last	75
483	sorrow	75
484	both	74
485	cloud	74
486	desire	74
487	green	74
488	km	74
489	english	73
490	find	73
491	live	73
492	once	73
493	commune	72
494	go	72
495	right	72
496	angel	71
497	any	71
498	each	71
499	long	71
500	sea	71
501	being	70
502	elizabeth	70
503	eye	70
504	number	70
505	take	70
506	though	70
507	ever	69
508	self	69
509	things	69
510	air	68
511	friend	68
512	landgrave	68
513	might	68
514	golden	67
515	minister	67
516	national	67
517	tell	67
518	think	67
519	another	66
520	flame	66
521	dear	65
522	rose	65
523	cannot	64
524	means	64
525	spirit	64
526	breath	63
527	children	63
528	france	63
529	january	63
530	s	63
531	spring	63
532	three	63
533	could	62
534	give	62
535	show	62
536	words	62
537	back	61
538	career	61
539	himself	61
540	set	61
541	way	61
542	best	60
543	fair	60
544	lay	60
545	o'er	60
546	t	60
547	call	59
548	gold	59
549	lamb	59
550	thel	59
551	bosom	58
552	care	58
553	released	58
554	weeping	58
555	gone	57
556	secret	57
557	speak	57
558	dost	56
559	infinite	56
560	sit	56
561	stars	56
562	united	56
563	poor	55
564	reason	55
565	round	55
566	seen	55
567	son	55
568	word	55
569	youth	55
570	dark	54
571	flowers	54
572	play	54
573	tender	54
574	among	53
575	leave	53
576	left	53
577	peace	53
578	pity	53
579	point	53
580	team	53
581	tree	53
582	evil	52
583	form	52
584	seek	52
585	under	52
586	unknown	52
587	wife	52
588	birds	51
589	blood	51
590	hair	51
591	hate	51
592	infant	51
593	lips	51
594	president	51
595	silent	51
596	boy	50
597	days	50
598	minstrel	50
599	morning	50
600	smiles	50
601	after	49
602	image	49
603	power	49
604	same	49
605	wild	49
606	arise	48
607	bear	48
608	glory	48
609	sense	48
610	september	48
611	alone	47
612	mouth	47
613	since	47
614	because	46
615	bed	46
616	cold	46
617	darkness	46
618	dream	46
619	none	46
620	praise	46
621	trees	46
622	without	46
623	dare	45
624	mystery	45
625	north	45
626	therefore	45
627	thing	45
628	arms	44
629	better	44
630	cry	44
631	divine	44
632	flower	44
633	mercy	44
634	mortal	44
635	pure	44
636	smile	44
637	woe	44
638	area	43
639	author	43
640	countess	43
641	die	43
642	lord	43
643	love's	43
644	loves	43
645	much	43
646	nature	43
647	nothing	43
648	queen	43
649	sky	43
650	soft	43
651	tis	43
652	use	43
653	virgin	43
654	above	42
655	breast	42
656	hope	42
657	lion	42
658	org	42
659	soon	42
660	wept	42
661	always	41
662	beneath	41
663	book	41
664	despair	41
665	free	40
666	ha	40
667	home	40
668	itself	40
669	king	40
670	maiden	40
671	near	40
672	read	40
673	small	40
674	vain	40
675	weak	40
676	wings	40
677	worm	40
678	august	39
679	beyond	39
680	far	39
681	feet	39
682	gods	39
683	house	39
684	keep	39
685	knew	39
686	laugh	39
687	living	39
688	moon	39
689	pain	39
690	scene	39
691	sight	39
692	within	39
693	against	38
694	bound	38
695	crown	38
696	enough	38
697	gentle	38
698	merry	38
699	morn	38
700	official	38
701	pretty	38
702	return	38
703	wolfram	38
704	work	38
705	done	37
706	end	37
707	fall	37
708	fool	37
709	just	37
710	maid	37
711	parts	37
712	songs	37
713	actress	36
714	barren	36
715	donald	36
716	eternity	36
717	food	36
718	high	36
719	i'll	36
720	south	36
721	kisses	35
722	led	35
723	lie	35
724	purpose	35
725	strange	35
726	understand	35
727	year	35
728	adela	34
729	around	34
730	burning	34
731	clouds	34
732	forth	34
733	lose	34
734	music	34
735	palace	34
736	pleasure	34
737	shade	34
738	times	34
739	vales	34
740	bring	33
741	church	33
742	devil	33
743	full	33
744	grow	33
745	indeed	33
746	lady	33
747	myself	33
748	place	33
749	star	33
750	ten	33
751	told	33
752	act	32
753	behold	32
754	blind	32
755	brain	32
756	garden	32
757	girl	32
758	hands	32
759	helena	32
760	hot	32
761	lyca	32
762	mean	32
763	mild	32
764	naked	32
765	note	32
766	others	32
767	pale	32
768	rise	32
769	space	32
770	strong	32
771	took	32
772	water	32
773	west	32
774	ye	32
775	age	31
776	answer	31
777	answered	31
778	bird	31
779	bitter	31
780	caught	31
781	council	31
782	filled	31
783	fled	31
784	fly	31
785	hast	31
786	hour	31
787	lies	31
788	lo	31
789	sigh	31
790	sin	31
791	starry	31
792	tear	31
793	thoughts	31
794	wilt	31
795	written	31
796	yes	31
797	bore	30
798	century	30
799	christ	30
800	gives	30
801	heinrich	30
802	hold	30
803	merrily	30
804	numbers	30
805	politician	30
806	shine	30
807	television	30
808	went	30
809	whom	30
810	wise	30
811	lover	29
812	ministers	29
813	pass	29
814	trembling	29
815	ancient	28
816	bertram	28
817	cook	28
818	cruel	28
819	dreams	28
820	dwell	28
821	east	28
822	fears	28
823	given	28
824	grass	28
825	laughing	28
826	law	28
827	lovely	28
828	pleasant	28
829	sees	28
830	series	28
831	sport	28
832	summer	28
833	thyself	28
834	tongue	28
835	weary	28
836	welcome	28
837	wisdom	28
838	appear	27
839	clay	27
840	flaming	27
841	forget	27
842	grew	27
843	joys	27
844	land	27
845	leaves	27
846	limbs	27
847	save	27
848	unto	27
849	ways	27
850	whether	27
851	angels	26
852	beside	26
853	blossom	26
854	divided	26
855	draw	26
856	dread	26
857	faces	26
858	fallen	26
859	ground	26
860	making	26
861	meet	26
862	nay	26
863	off	26
864	passion	26
865	sings	26
866	souls	26
867	thorns	26
868	worth	26
869	young	26
870	dawn	25
871	equal	25
872	everything	25
873	false	25
874	follow	25
875	folly	25
876	grief	25
877	hill	25
878	kill	25
879	lot	25
880	loved	25
881	madam	25
882	pride	25
883	put	25
884	rather	25
885	rising	25
886	shadow	25
887	shalt	25
888	sleeping	25
889	states	25
890	themselves	25
891	touch	25
892	woman	25
893	wonder	25
894	aquaculture	24
895	fade	24
896	feel	24
897	gave	24
898	genius	24
899	heat	24
900	less	24
901	main	24
902	makes	24
903	rest	24
904	rock	24
905	seem	24
906	shame	24
907	skies	24
908	stand	24
909	subtle	24
910	sword	24
911	tom	24
912	turn	24
913	value	24
914	wind	24
915	wine	24
916	winter	24
917	wrath	24
918	abyss	23
919	became	23
920	between	23
921	curled	23
922	curse	23
923	district	23
924	existence	23
925	fish	23
926	knight	23
927	least	23
928	lily	23
929	mere	23
930	need	23
931	nest	23
932	often	23
933	poison	23
934	rich	23
935	river	23
936	sir	23
937	state-id	23
938	taught	23
939	thousand	23
940	warm	23
941	wide	23
942	wish	23
943	won	23
944	actor	22
945	beauty's	22
946	blessing	22
947	desert	22
948	drink	22
949	else	22
950	enter	22
951	evening	22
952	falling	22
953	goddess	22
954	heaven's	22
955	immortal	22
956	july	22
957	liquid	22
958	movies	22
959	nations	22
960	red	22
961	roses	22
962	shape	22
963	sheep	22
964	slow	22
965	sought	22
966	stream	22
967	tired	22
968	veil	22
969	venusberg	22
970	virginity	22
971	vision	22
972	web	22
973	worship	22
974	adr	21
975	album	21
976	align	21
977	another's	21
978	asked	21
979	breathing	21
980	energy	21
981	five	21
982	friends	21
983	hydrogen	21
984	ill	21
985	jesus	21
986	lambs	21
987	laughs	21
988	lives	21
989	mighty	21
990	new-born	21
991	parolles	21
992	room	21
993	serpent	21
994	sick	21
995	smiling	21
996	snow	21
997	swear	21
998	together	21
999	tune	21
1000	vast	21
1001	wake	21
1002	www	21
1003	across	20
1004	although	20
1005	began	20
1006	clear	20
1007	close	20
1008	drawn	20
1009	faint	20
1010	fiery	20
1011	grows	20
1012	heavy	20
1013	humble	20
1014	jealousy	20
1015	kind	20
1016	lonely	20
1017	loving	20
1018	low	20
1019	maker	20
1020	material	20
1021	mill	20
1022	pan	20
1023	pitying	20
1024	prey	20
1025	senses	20
1026	seven	20
1027	shadows	20
1028	shrine	20
1029	simple	20
1030	throne	20
1031	thunder	20
1032	tyger	20
1033	valley	20
1034	virtue	20
1035	voices	20
1036	alas	19
1037	ask	19
1038	becomes	19
1039	blake	19
1040	breasts	19
1041	calls	19
1042	clothed	19
1043	deadly	19
1044	doubt	19
1045	fearful	19
1046	fell	19
1047	foolish	19
1048	grave	19
1049	held	19
1050	knows	19
1051	marriage	19
1052	merely	19
1053	mistress	19
1054	mock	19
1055	mysterious	19
1056	passed	19
1057	present	19
1058	renew	19
1059	selfish	19
1060	shore	19
1061	side	19
1062	silence	19
1063	sitting	19
1064	special	19
1065	summer's	19
1066	swift	19
1067	walking	19
1068	whole	19
1069	yours	19
1070	appeared	18
1071	aside	18
1072	beast	18
1073	become	18
1074	believe	18
1075	break	18
1076	chamber	18
1077	comes	18
1078	countries	18
1079	court	18
1080	dangerous	18
1081	dew	18
1082	due	18
1083	ears	18
1084	feed	18
1085	few	18
1086	fresh	18
1087	glass	18
1088	hail	18
1089	isis	18
1090	learn	18
1091	middle	18
1092	mother's	18
1093	mountain	18
1094	ocean	18
1095	ones	18
1096	past	18
1097	pilgrim	18
1098	plough	18
1099	poet	18
1100	pray	18
1101	sat	18
1102	silver	18
1103	sole	18
1104	sorrows	18
1105	study	18
1106	terror	18
1107	waters	18
1108	worms	18
1109	ay	17
1110	beams	17
1111	bless	17
1112	brought	17
1113	canst	17
1114	cause	17
1115	cross	17
1116	cunning	17
1117	destroy	17
1118	dress	17
1119	eagle	17
1120	falls	17
1121	fingers	17
1122	flesh	17
1123	force	17
1124	hatred	17
1125	helpless	17
1126	hollow	17
1127	hours	17
1128	hush	17
1129	immense	17
1130	increase	17
1131	infant's	17
1132	looks	17
1133	moan	17
1134	oil	17
1135	parents	17
1136	pipe	17
1137	rossillon	17
1138	seeking	17
1139	springs	17
1140	stay	17
1141	verse	17
1142	want	17
1143	wit	17
1144	youthful	17
1145	ago	16
1146	armed	16
1147	bare	16
1148	bones	16
1149	brow	16
1150	centimeter	16
1151	chains	16
1152	change	16
1153	delicate	16
1154	desperate	16
1155	drive	16
1156	dumb	16
1157	dust	16
1158	earth's	16
1159	ease	16
1160	fancy	16
1161	father's	16
1162	february-february	16
1163	flow	16
1164	foot	16
1165	gain	16
1166	grace	16
1167	grail	16
1168	grove	16
1169	hazard	16
1170	hears	16
1171	heart's	16
1172	hide	16
1173	horn	16
1174	horse	16
1175	important	16
1176	innocent	16
1177	keen	16
1178	kissed	16
1179	lead	16
1180	league	16
1181	mane	16
1182	marry	16
1183	mary	16
1184	matter	16
1185	mixed	16
1186	modest	16
1187	move	16
1188	muse	16
1189	noble	16
1190	october	16
1191	path	16
1192	perhaps	16
1193	plain	16
1194	player	16
1195	please	16
1196	popular	16
1197	religion	16
1198	sad	16
1199	sake	16
1200	saying	16
1201	shakes	16
1202	shining	16
1203	shoulders	16
1204	sound	16
1205	story	16
1206	supplies	16
1207	symbol	16
1208	takes	16
1209	time's	16
1210	tomb	16
1211	trust	16
1212	unless	16
1213	until	16
1214	walk	16
1215	watch	16
1216	winds	16
1217	wood	16
1218	wrote	16
1219	arose	15
1220	besides	15
1221	birth	15
1222	bliss	15
1223	blue	15
1224	brows	15
1225	calling	15
1226	carolina	15
1227	cast	15
1228	china	15
1229	clime	15
1230	clown	15
1231	didst	15
1232	dull	15
1233	england	15
1234	february-august	15
1235	fed	15
1236	forehead	15
1237	germany	15
1238	god's	15
1239	grey	15
1240	har	15
1241	height	15
1242	hid	15
1243	hockey	15
1244	however	15
1245	ii	15
1246	iii	15
1247	isaiah	15
1248	jersey	15
1249	kept	15
1250	lafew	15
1251	lest	15
1252	lift	15
1253	line	15
1254	melting	15
1255	memorable	15
1256	neck	15
1257	passionate	15
1258	poets	15
1259	priest	15
1260	prime-august	15
1261	proud	15
1262	religious	15
1263	runs	15
1264	spend	15
1265	spiritual	15
1266	terrible	15
1267	tigers	15
1268	title	15
1269	travel	15
1270	university	15
1271	valleys	15
1272	waves	15
1273	william	15
1274	woods	15
1275	yourself	15
1276	zealand	15
1277	abide	14
1278	already	14
1279	arrondissements	14
1280	asleep	14
1281	australian	14
1282	bank	14
1283	behind	14
1284	below	14
1285	blossoms	14
1286	blown	14
1287	boats	14
1288	buds	14
1289	built	14
1290	catch	14
1291	changed	14
1292	consumed	14
1293	cookers	14
1294	course	14
1295	crowned	14
1296	cruelty	14
1297	departments	14
1298	destiny	14
1299	different	14
1300	eat	14
1301	effect	14
1302	excess	14
1303	fades	14
1304	fairest	14
1305	february-align	14
1306	february-class	14
1307	february-id	14
1308	folk	14
1309	forgot	14
1310	foul	14
1311	four	14
1312	frame	14
1313	games	14
1314	got	14
1315	h	14
1316	hardly	14
1317	hathoor	14
1318	hearing	14
1319	help	14
1320	horses	14
1321	hunger	14
1322	hungry	14
1323	id	14
1324	ideas	14
1325	iron	14
1326	journey	14
1327	khan	14
1328	lack	14
1329	lines	14
1330	loss	14
1331	lotus	14
1332	magic	14
1333	master	14
1334	money	14
1335	mystic	14
1336	nomadic	14
1337	pen	14
1338	pit	14
1339	prove	14
1340	rapture	14
1341	remember	14
1342	risen	14
1343	rome	14
1344	seemed	14
1345	shake	14
1346	sighs	14
1347	statistics-october	14
1348	stood	14
1349	straight	14
1350	surely	14
1351	swan	14
1352	sweeter	14
1353	underneath	14
1354	view	14
1355	waste	14
1356	womb	14
1357	women	14
1358	write	14
1359	acts	13
1360	ages	13
1361	argument	13
1362	bad	13
1363	bower	13
1364	chorus	13
1365	company	13
1366	core	13
1367	count	13
1368	dewy	13
1369	died	13
1370	distant	13
1371	endless	13
1372	faith	13
1373	farewell	13
1374	firm	13
1375	fixed	13
1376	flew	13
1377	foe	13
1378	fold	13
1379	forests	13
1380	fruit	13
1381	further	13
1382	gifts	13
1383	half	13
1384	harp	13
1385	harvest	13
1386	hearts	13
1387	hides	13
1388	hither	13
1389	impossible	13
1390	join	13
1391	knowledge	13
1392	leads	13
1393	listen	13
1394	lowly	13
1395	lust	13
1396	mayst	13
1397	minds	13
1398	miracle	13
1399	moving	13
1400	oft	13
1401	painted	13
1402	perfect	13
1403	purity	13
1404	roots	13
1405	sang	13
1406	says	13
1407	shed	13
1408	single	13
1409	skill	13
1410	slain	13
1411	smoke	13
1412	solemn	13
1413	stable	13
1414	steal	13
1415	sung	13
1416	sure	13
1417	universe	13
1418	vile	13
1419	void	13
1420	we'd	13
1421	whilst	13
1422	worn	13
1423	wrong	13
1424	answerd	12
1425	appears	12
1426	aspire	12
1427	ave	12
1428	b	12
1429	babe	12
1430	bears	12
1431	betray	12
1432	bible	12
1433	bid	12
1434	borne	12
1435	calm	12
1436	cave	12
1437	chain	12
1438	charge	12
1439	cheek	12
1440	circle	12
1441	clod	12
1442	comfort	12
1443	commandments	12
1444	consciousness	12
1445	courage	12
1446	covered	12
1447	crime	12
1448	crow	12
1449	dale	12
1450	deeds	12
1451	distinct	12
1452	distress	12
1453	door	12
1454	double	12
1455	echoing	12
1456	ere	12
1457	exit	12
1458	experience	12
1459	ezekiel	12
1460	fast	12
1461	favour	12
1462	fiend	12
1463	fires	12
1464	flute	12
1465	following	12
1466	formless	12
1467	fox	12
1468	going	12
1469	grant	12
1470	greater	12
1471	grown	12
1472	honey	12
1473	horror	12
1474	hover	12
1475	illusion	12
1476	imagination	12
1477	infants	12
1478	innocence	12
1479	key	12
1480	kissing	12
1481	laid	12
1482	laughed	12
1483	longer	12
1484	maria	12
1485	messiah	12
1486	moss	12
1487	mothers	12
1488	moves	12
1489	murder	12
1490	pace	12
1491	perception	12
1492	pilgrims	12
1493	piping	12
1494	prolific	12
1495	purple	12
1496	quest	12
1497	rain	12
1498	reach	12
1499	real	12
1500	receive	12
1501	rejoice	12
1502	review	12
1503	rolled	12
1504	second	12
1505	sets	12
1506	shepherd-boy	12
1507	shows	12
1508	sleepy	12
1509	sombre	12
1510	splendid	12
1511	spouse	12
1512	spreads	12
1513	stain	12
1514	standing	12
1515	steps	12
1516	stoop	12
1517	storm	12
1518	strength	12
1519	sunflower	12
1520	sunny	12
1521	swedenborg	12
1522	taken	12
1523	talk	12
1524	tent	12
1525	theme	12
1526	thursday	12
1527	turned	12
1528	vanish	12
1529	waits	12
1530	walked	12
1531	wishes	12
1532	airy	11
1533	altar	11
1534	analysis	11
1535	angry	11
1536	arm	11
1537	beguile	11
1538	brave	11
1539	brings	11
1540	buried	11
1541	carried	11
1542	characters	11
1543	cheer	11
1544	coal	11
1545	cometh	11
1546	control	11
1547	country	11
1548	cradle	11
1549	creation	11
1550	crimson	11
1551	deities	11
1552	delights	11
1553	devils	11
1554	disdain	11
1555	disease	11
1556	dismay	11
1557	driven	11
1558	during	11
1559	ear	11
1560	ecstasy	11
1561	excuse	11
1562	fierce	11
1563	flies	11
1564	forgotten	11
1565	frowning	11
1566	groan	11
1567	heath	11
1568	history	11
1569	holds	11
1570	honour	11
1571	hung	11
1572	infernal	11
1573	iv	11
1574	jealous	11
1575	justice	11
1576	london	11
1577	lovers	11
1578	mad	11
1579	mark	11
1580	meek	11
1581	moans	11
1582	mountains	11
1583	next	11
1584	noise	11
1585	nought	11
1586	party	11
1587	poet's	11
1588	portion	11
1589	possible	11
1590	prays	11
1591	quick	11
1592	quite	11
1593	r	11
1594	reading	11
1595	really	11
1596	removed	11
1597	roof	11
1598	root	11
1599	seest	11
1600	send	11
1601	servant	11
1602	sits	11
1603	solid	11
1604	sources	11
1605	speed	11
1606	sphere	11
1607	stands	11
1608	streams	11
1609	strive	11
1610	studied	11
1611	subject	11
1612	sublime	11
1613	suddenly	11
1614	sweetest	11
1615	term	11
1616	there's	11
1617	torment	11
1618	treasure	11
1619	vulgar	11
1620	wandered	11
1621	winter's	11
1622	works	11
1623	aloft	10
1624	aloud	10
1625	amber	10
1626	amid	10
1627	anything	10
1628	apple	10
1629	babes	10
1630	base	10
1631	becoming	10
1632	beheld	10
1633	bells	10
1634	beware	10
1635	bloom	10
1636	bow	10
1637	caves	10
1638	chaos	10
1639	chase	10
1640	clasp	10
1641	comedy	10
1642	coming	10
1643	corner	10
1644	cried	10
1645	deeper	10
1646	desires	10
1647	desolate	10
1648	despite	10
1649	developed	10
1650	direction	10
1651	disgrace	10
1652	dismal	10
1653	dusk	10
1654	easy	10
1655	egyptian	10
1656	eyelids	10
1657	fact	10
1658	factors	10
1659	fail	10
1660	faults	10
